email_id,sender_domain,num_links,has_attachment,subject_len,urgency_score,label
2001,paypal.com,2,no,34,1,legit
2002,paypa1-secure.com,9,yes,58,8,phish
2003,amazon.com,1,No,29,0,legit
2004,bank-of-america.com,3,no,,1,legit
2005,secure-verify-login.ru,12,YES,71,9,phish
2006,google.com,1,no,22,0,legit
2007,dropbox.com,2,no,31,,legit
2008,micros0ft-support.com,8,yes,64,7,phish
2009,github.com,1,no,-5,0,legit
2010,apple.com,2,no,27,0,LEGIT
2011,account-update-now.tk,15,yes,80,10,phish
2012,linkedin.com,3,no,33,1,legit
2002,paypa1-secure.com,9,yes,58,8,phish
2013,netflix.com,2,No,28,0,legit
2014,verify-paypal.info,11,YES,66,9,phish
2015,slack.com,1,no,24,0,legit
2016,chase.com,2,no,30,1,
2017,secure-appleid.co,14,yes,999,8,phish
2018,spotify.com,1,no,21,0,legit
2019,zoom.us,2,no,26,N/A,legit
2020,fedex-tracking-alert.xyz,10,YES,69,9,phish
2021,adobe.com,2,no,32,0,legit
2022,paypal.com,1,No,25,0,legit
2023,irs-refund-claim.net,13,yes,74,10,phish
2024,twitter.com,2,no,29,1,legit
2025,microsoft.com,1,no,23,0,legit
2026,bank0famerica-verify.com,12,yes,68,9,phish
2027,uber.com,2,no,,0,legit
2028,wellsfargo.com,3,no,31,1,legit
2029,secure-login-alert.ml,16,YES,-3,10,phish
2030,instagram.com,1,no,22,0,legit
